id,example,term,binary_label
356,@itsjaylaaa eat shit nigga bitch turd bag dick beetle,bag,1
618,Nuggas be to obsessed with the homies. Like the cant bag bitches,bag bitch,1
668,"People who enjoy shows like @SouthPark and @FamilyGuyonFOX are douche bags. Usually white trash, too.",bag,1
798,RT @The_Searcy: Happy cunt bags&#128076;,bag,1
1076,Why are some people such faggots? Like were you born that way or are you just that big of a douche bag.,bag,1
155,&#8220;@NiHao_Rocky Who is she? RT @DrTruth247: Y'all hype that bread loaf chick up but I'm a chill&#8221; a dyke rapper,chick,1
524,Hats off to all hoodrat chicks from the ghetto who have anxiety attacks at formal events,chick,1
585,It's this dyke chick cut hair in the barbershop look just like Future,chick,1
708,RT @CauseWereGuys: No bitch ass chick flick will ever be as sad as this movie http://t.co/OLmaJvztpR,chick,1
986,RT @kevnasto: I would rather fuck a fat chick than allow a nigger into my house.,chick,1
96,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW.",cracker,1
165,"*goes to olive garden*
*Turns into a cracker*
""@gIacier: *goes black friday shopping*
*turns into a nigger*""",cracker,1
167,"8/16/14 MO @GovJayNixon let &#8220;kill some crackers, kill their babies"" New Black Panthers hijack his #Ferguson presser http://t.co/z2Wko9Ripz",cracker,1
183,@AndrewJBurns1 @Tommy_Russell_ homo ass crackers,cracker,1
228,"@JizzAtTheScene and how am I assume shit 
,hmm cuz u don't know what fuck u talking about crackers these days.",cracker,1
327,"@_westwest_yall @phampel WooHoo! New Black ""Kill Cracker babies"" Panthers to the rescue! #racist #trash #thugs #Ferguson #fergusonriot",cracker,1
357,@jakiekoelewijn nigga who's bitch u fucking cracker get your gay ass out my mentions.,cracker,1
359,"@jennybaquing so terms like honkey, cracker, peckerwood and stereotypes of white people fucking their kids and sisters isn't racist? sweet!",cracker,1
391,@steveeearley @TheChaseUSA @MarkLabbett That cracker as big as he looks on TV?,cracker,1
452,Daddy cracker and a few bad bitches...,cracker,1
493,Eagles fuck around &amp; lose it'll be kill the cracker at the Sophi crib smfh,cracker,1
576,"If you kill all cops and cracker babies, what next?????? Black states, white states, and Latino states? Isn't that moving backwards?",cracker,1
614,Nigga just had them crackers on a chase.,cracker,1
688,RT @AlfanoLisa: @Chris_1791 @MariaChappelleN Gee isn't cracker a racist term? So tired of these race baiters.,cracker,1
720,"RT @DaTbOySmOkEyy: Shawty said you not gone understand america unless you went to a PWI school, crackers already brainwashed her smh lol",cracker,1
763,"RT @ManiChakr: @ArvindKejriwal itni bahaduri!!! interviews mein to hamesha marne ko tayyar rehte ho, got scared of crackers? LOL http://t.c&#8230;",cracker,1
792,RT @Sam_James3: @will123_william @haydenhill13 @aknadnrye @khalilreed I don't care tho cracker,cracker,1
1000,RT @veeveeveeveevee: If I was Obama Id call a press conference &amp; slit joe bidens neck on live tv just 2 show these crackers I mean business&#8230;,cracker,1
